op,dms_update_ts,date,typeid,schema_name,ingest_hour,ingest_year,ingest_month,ingest_day
I,50:57.2,16/4/22,2,dbo,8,2022,1,7
I,50:57.2,17/4/22,2,dbo,8,2022,1,7
I,50:57.2,18/4/22,2,dbo,8,2022,1,7
I,50:57.2,19/4/22,2,dbo,8,2022,1,7
I,50:57.2,20/4/22,2,dbo,8,2022,1,7
I,50:57.2,21/4/22,2,dbo,8,2022,1,7
I,50:57.2,22/4/22,2,dbo,8,2022,1,7
I,50:57.2,23/4/22,2,dbo,8,2022,1,7
I,50:57.2,24/4/22,2,dbo,8,2022,1,7
I,50:57.2,25/4/22,2,dbo,8,2022,1,7
I,50:57.2,26/4/22,2,dbo,8,2022,1,7
I,50:57.2,27/4/22,2,dbo,8,2022,1,7
I,50:57.2,28/4/22,2,dbo,8,2022,1,7
I,50:57.2,29/4/22,2,dbo,8,2022,1,7
I,50:57.2,30/4/22,2,dbo,8,2022,1,7
I,50:57.2,1/5/22,2,dbo,8,2022,1,7
I,50:57.2,9/7/22,2,dbo,8,2022,1,7
I,50:57.2,10/7/22,2,dbo,8,2022,1,7
I,50:57.2,11/7/22,2,dbo,8,2022,1,7
I,50:57.2,12/7/22,2,dbo,8,2022,1,7
I,50:57.2,13/7/22,2,dbo,8,2022,1,7
I,50:57.2,14/7/22,2,dbo,8,2022,1,7
I,50:57.2,15/7/22,2,dbo,8,2022,1,7
I,50:57.2,16/7/22,2,dbo,8,2022,1,7
I,50:57.2,17/7/22,2,dbo,8,2022,1,7
I,50:57.2,18/7/22,2,dbo,8,2022,1,7
I,50:57.2,19/7/22,2,dbo,8,2022,1,7
I,50:57.2,20/7/22,2,dbo,8,2022,1,7
I,50:57.2,21/7/22,2,dbo,8,2022,1,7
I,50:57.2,22/7/22,2,dbo,8,2022,1,7
I,50:57.2,23/7/22,2,dbo,8,2022,1,7
I,50:57.2,24/7/22,2,dbo,8,2022,1,7
I,51:17.0,17/12/22,2,dbo,8,2022,1,7
I,51:17.0,18/12/22,2,dbo,8,2022,1,7
I,51:17.0,19/12/22,2,dbo,8,2022,1,7
I,51:17.0,20/12/22,2,dbo,8,2022,1,7
I,51:17.0,21/12/22,2,dbo,8,2022,1,7
I,51:17.0,22/12/22,2,dbo,8,2022,1,7
I,51:17.0,23/12/22,2,dbo,8,2022,1,7
I,51:17.0,24/12/22,2,dbo,8,2022,1,7
I,51:17.0,25/12/22,2,dbo,8,2022,1,7
I,51:17.0,26/12/22,2,dbo,8,2022,1,7
