"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color","routegroup","feed_version","ingest_year","ingest_month","ingest_day","feed_version_partition"
"100","5","100","Arndale Centre Interchange to Glen Osmond","via Woodville Rd, Queen Elizabeth Hospital, Holbrooks Rd, Marion Rd and Cross Rd (operates Monday - Saturday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/100","0033CC","ffffff","100-101","1175","2022","01","31","1175"
"100B","5","100B","Arndale Centre Interchange / Urrbrae Agricultural High School to Brooklyn Park","Operates various limited sections of the 100 route on school days only","3","http://www.adelaidemetro.com.au/routes/100B","0033CC","ffffff","100-101","1175","2022","01","31","1175"
"100C","5","100C","Forestville to Urrbrae Argriculture High School","Operates various limited sections of the 100 route on school days only","3","http://www.adelaidemetro.com.au/routes/100C","0033CC","ffffff","100-101","1175","2022","01","31","1175"
"100N","5","100N","Urrbrae Agriculture High School to Marleston","Operates various limited sections of the 100 route on school days only","3","http://www.adelaidemetro.com.au/routes/100N","0033CC","ffffff","100-101","1175","2022","01","31","1175"
"100P","5","100P","Arndale Centre Interchange to Plympton","via Woodville Rd, Queen Elizabeth Hospital, Holbrooks Rd and Marion Rd (terminates at Stop 12 Marion Rd, Plympton)","3","http://www.adelaidemetro.com.au/routes/100P","0033CC","ffffff","100-101","1175","2022","01","31","1175"
"101","5","101","Arndale Centre Interchange to Flinders University","via Woodville Rd, Queen Elizabeth Hospital, Holbrooks Rd, Marion Rd and Sturt Rd (operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/101","0033CC","ffffff","100-101","1175","2022","01","31","1175"
"106","5","106","Magill to City","via Magill Rd and Botanic Rd","3","http://www.adelaidemetro.com.au/routes/106","0033CC","ffffff","106","1175","2022","01","31","1175"
"110","5","110","West Lakes Centre Interchange to City","via Frederick Rd, Grange Rd and South Rd","3","http://www.adelaidemetro.com.au/routes/110","0033CC","ffffff","110-112","1175","2022","01","31","1175"
"112","5","112","West Lakes Centre Interchange to City","via Frederick Rd, Grange Rd and South Rd (operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/112","0033CC","ffffff","110-112","1175","2022","01","31","1175"
"115","5","115","West Lakes Centre Interchange to City","via Tapleys Hill Rd and Crittenden Rd","3","http://www.adelaidemetro.com.au/routes/115","0033CC","ffffff","115-117-118","1175","2022","01","31","1175"
"117","5","117","Port Adelaide Interchange to City","via Bartley Tce, West Lakes, Tapleys Hill Rd and Crittenden Rd","3","http://www.adelaidemetro.com.au/routes/117","0033CC","ffffff","115-117-118","1175","2022","01","31","1175"
"118","5","118","Port Adelaide Interchange to City","via Tapleys Hill Rd and Crittenden Rd","3","http://www.adelaidemetro.com.au/routes/118","0033CC","ffffff","115-117-118","1175","2022","01","31","1175"
"140","5","140","City to Glen Osmond","via The Parade and Portrush Rd (operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/140","0033CC","ffffff","140-144-147","1175","2022","01","31","1175"
"141","5","141","Stonyfell to City","via Hallett Rd and Kensington Rd","3","http://www.adelaidemetro.com.au/routes/141","0033CC","ffffff","141-142","1175","2022","01","31","1175"
"142","5","142","Burnside to City","via Glynburn Rd and Kensington Rd","3","http://www.adelaidemetro.com.au/routes/142","0033CC","ffffff","141-142","1175","2022","01","31","1175"
"144","5","144","Glen Osmond to City","via Portrush Rd and Grant Ave","3","http://www.adelaidemetro.com.au/routes/144","0033CC","ffffff","140-144-147","1175","2022","01","31","1175"
"144G","5","144G","City to Toorak Gardens","via Grant Ave (terminates at stop 7 Grant Ave, Toorak Gardens)","3","http://www.adelaidemetro.com.au/routes/144","0033CC","ffffff","140-144-147","1175","2022","01","31","1175"
"147","5","147","Beaumont to City","via Devereux Rd and Dulwich Ave","3","http://www.adelaidemetro.com.au/routes/147","0033CC","ffffff","140-144-147","1175","2022","01","31","1175"
"150","5","150","Osborne to City","via Victoria Rd, Fletcher Rd and Port Rd","3","http://www.adelaidemetro.com.au/routes/150","0033CC","ffffff","150-333","1175","2022","01","31","1175"
"150B","5","150B","City to Largs Bay","via Port Rd and Fletcher Rd (terminates at stop 48 Fletcher Rd, Largs Bay)","3","http://www.adelaidemetro.com.au/routes/150","0033CC","ffffff","150-333","1175","2022","01","31","1175"
"150P","5","150P","City to Port Adelaide Interchange","via Port Rd (terminates at Port Adelaide Interchange)","3","http://www.adelaidemetro.com.au/routes/150","0033CC","ffffff","150-333","1175","2022","01","31","1175"
"155","5","155","West Lakes Centre Interchange to City","via West Lakes Blvd and Port Rd","3","http://www.adelaidemetro.com.au/routes/155","0033CC","ffffff","155-157-376","1175","2022","01","31","1175"
"157","5","157","Largs Bay to City","via Military Rd, West Lakes, Port Rd and Currie St","3","http://www.adelaidemetro.com.au/routes/157","0033CC","ffffff","155-157-376","1175","2022","01","31","1175"
"157X","5","157X","Largs Bay to City","via Military Rd, West Lakes Blvd, West Lakes Interchange then express to city (operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/157","0033CC","ffffff","155-157-376","1175","2022","01","31","1175"
"163","5","163","City to West Beach","via Sir Donald Bradman Dr and Military Rd (operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/163","0033CC","ffffff","J1-J2-C1-C1X-C2-C2X-163-N1","1175","2022","01","31","1175"
"167","5","167","Glenelg Interchange to City","via Glenelg North, Mooringe Ave and Richmond Rd","3","http://www.adelaidemetro.com.au/routes/167","0033CC","ffffff","167-168","1175","2022","01","31","1175"
"167C","5","167C","City to Camden Park","via Richmond Rd and Mooringe Ave (terminates at Stop 15 Mooringe Ave, Camden Park)","3","http://www.adelaidemetro.com.au/routes/167","0033CC","ffffff","167-168","1175","2022","01","31","1175"
"168","5","168","Glenelg Interchange to City","via Glenelg North, Harvey Ave and Richmond Rd","3","http://www.adelaidemetro.com.au/routes/168","0033CC","ffffff","167-168","1175","2022","01","31","1175"
"170","5","170","Urrbrae to City","via Cross Rd and Duthy St (operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/170","0033CC","ffffff","170-172","1175","2022","01","31","1175"
"171","5","171","Mitcham Square to City","via Princes Rd and Fullarton Rd","3","http://www.adelaidemetro.com.au/routes/171","0033CC","ffffff","171-173","1175","2022","01","31","1175"
"171A","5","171A","City to Highgate","via Fullarton Rd (terminates at stop 12 Fullarton Rd, Highgate)","3","http://www.adelaidemetro.com.au/routes/171","0033CC","ffffff","171-173","1175","2022","01","31","1175"
"172","5","172","Kingswood to City","via Harrow Tce and Duthy St","3","http://www.adelaidemetro.com.au/routes/172","0033CC","ffffff","170-172","1175","2022","01","31","1175"
"173","5","173","Blackwood Interchange to City","via Main Rd, Belair Rd, Blythewood Rd and Fullarton Rd (operates school days only)","3","http://www.adelaidemetro.com.au/routes/173","0033CC","ffffff","171-173","1175","2022","01","31","1175"
"174","5","174","Paradise Interchange to City","via Lower North East Rd and Payneham Rd","3","http://www.adelaidemetro.com.au/routes/174","0033CC","ffffff","174-N178","1175","2022","01","31","1175"
"176","5","176","Athelstone to City","via Gorge Rd, Reserve Rd and Payneham Rd (operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/176","0033CC","ffffff","176-178-178X-578-579-N178","1175","2022","01","31","1175"
"176G","5","176G","City to Newton","via Payneham Rd, Reserve Rd and Gorge Rd (terminates at stop 27 Gorge Rd, Newton)","3","http://www.adelaidemetro.com.au/routes/176","0033CC","ffffff","176-178-178X-578-579-N178","1175","2022","01","31","1175"
"178","5","178","Paradise Interchange to City","via Lower Athelstone Rd, Montacute Rd and Payneham Rd","3","http://www.adelaidemetro.com.au/routes/178","0033CC","ffffff","176-178-178X-578-579-N178","1175","2022","01","31","1175"
"178A","5","178A","Paradise Interchange to Athelstone","via Lower Athelstone Rd and Gorge Rd (terminates at stop 34 Gorge Rd, Athelstone)","3","http://www.adelaidemetro.com.au/routes/178A","0033CC","ffffff","176-178-178X-578-579-N178","1175","2022","01","31","1175"
"178M","5","178M","City to Athelstone","via Payneham Rd, Montacute Rd and Maryvale Rd (terminates at stop 33M Maryvale Rd, Athelstone)","3","http://www.adelaidemetro.com.au/routes/178M","0033CC","ffffff","176-178-178X-578-579-N178","1175","2022","01","31","1175"
"178S","5","178S","City to Newton","via Payneham Rd and Montacute Rd (terminates at stop 26 Montacute Rd, Newton)","3","http://www.adelaidemetro.com.au/routes/178S","0033CC","ffffff","176-178-178X-578-579-N178","1175","2022","01","31","1175"
"178X","5","178X","Paradise Interchange to City","via Lower Athelstone Rd, Montacute Rd, Payneham Rd then express from stop 17 Payneham Rd, Glynde to city (operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/178X","0033CC","ffffff","176-178-178X-578-579-N178","1175","2022","01","31","1175"
"190","5","190","Glenelg Interchange to City","via Cliff St, Raglan Ave, Edward St, Mitcham and Unley Rd","3","http://www.adelaidemetro.com.au/routes/190","0033CC","ffffff","190","1175","2022","01","31","1175"
"190B","5","190B","City to Mitcham Square","via Unley Rd and Mitcham (terminates at stop 12 Belair Rd, Mitcham)","3","http://www.adelaidemetro.com.au/routes/190","0033CC","ffffff","190","1175","2022","01","31","1175"
"195","5","195","Blackwood Interchange to City","via Hawthorndene, Belair Rd, Mitcham and Unley Rd","3","http://www.adelaidemetro.com.au/routes/195","0033CC","ffffff","195-195F-196-196F-197X","1175","2022","01","31","1175"
"195F","5","195F","Blackwood Interchange to City","via Hawthorndene, Belair Rd, Mitcham and Unley Rd (limited stop service, operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/195","0033CC","ffffff","195-195F-196-196F-197X","1175","2022","01","31","1175"
"196","5","196","Blackwood Interchange to City","via Hawthorndene, Gloucester Ave, Mitcham and Unley Rd","3","http://www.adelaidemetro.com.au/routes/196","0033CC","ffffff","195-195F-196-196F-197X","1175","2022","01","31","1175"
"196F","5","196F","Blackwood Interchange to City","via Hawthorndene, Gloucester Ave, Mitcham and Unley Rd (limited stop service, operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/196","0033CC","ffffff","195-195F-196-196F-197X","1175","2022","01","31","1175"
"197X","5","197X","Coromandel Station to City","via Main Rd and Belair Rd (express service operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/197X","0033CC","ffffff","195-195F-196-196F-197X","1175","2022","01","31","1175"
"200","5","200","Marion Centre Interchange to City","via Flinders Medical Centre, Eliza Pl, Clapham and King William Rd","3","http://www.adelaidemetro.com.au/routes/200","990000","ffffff","200","1175","2022","01","31","1175"
"200B","5","200B","Marion Centre Interchange to City","via Flinders Medical Centre, Eliza Pl, Boothby St, and King William Rd (operates Monday-Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/200","990000","ffffff","200","1175","2022","01","31","1175"
"200C","5","200C","City to Clapham","via King William Rd, Hilda Tce and Boothby St (terminates at stop 20 Boothby St, Clapham)","3","http://www.adelaidemetro.com.au/routes/200","990000","ffffff","200","1175","2022","01","31","1175"
"202","5","202","Ingle Farm to City","via Hampstead Rd, North East Rd and Melbourne St","3","http://www.adelaidemetro.com.au/routes/202","990000","ffffff","202-202F-203-203F-209F-N202","1175","2022","01","31","1175"
"202F","5","202F","Ingle Farm to City","via Hampstead Rd, North East Rd and Melbourne St (limited stop service, operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/202F","990000","ffffff","202-202F-203-203F-209F-N202","1175","2022","01","31","1175"
"203","5","203","Tea Tree Plaza Interchange to City","via Milne Rd, Beovich Rd, Ingle Farm, Hampstead Rd and Melbourne St","3","http://www.adelaidemetro.com.au/routes/203","990000","ffffff","202-202F-203-203F-209F-N202","1175","2022","01","31","1175"
"203B","5","203B","City to Ingle Farm","via Melbourne St, Hampstead Rd and Baldock Rd (terminates at stop 47 Baldock Rd, Ingle Farm)","3","http://www.adelaidemetro.com.au/routes/203","990000","ffffff","202-202F-203-203F-209F-N202","1175","2022","01","31","1175"
"203F","5","203F","Tea Tree Plaza Interchange to City","via Milne Rd, Beovich Rd, Ingle Farm, Hampstead Rd and Melbourne St (limited stop service, operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/203","990000","ffffff","202-202F-203-203F-209F-N202","1175","2022","01","31","1175"
"206","5","206","Northgate to City","via Broadview, Galway Ave and Melbourne St (operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/206","990000","ffffff","206-208-528","1175","2022","01","31","1175"
"208","5","208","Paradise Interchange to City","via Sudholz Rd, Sir Ross Smith Blvd, Northgate, Broadview, Galway Ave and Melbourne St","3","http://www.adelaidemetro.com.au/routes/208","990000","ffffff","206-208-528","1175","2022","01","31","1175"
"208B","5","208B","City to Broadview","via Melbourne St, Galway Ave and Regency Rd (terminates at stop 19 Regency Rd, Broadview","3","http://www.adelaidemetro.com.au/routes/208","990000","ffffff","206-208-528","1175","2022","01","31","1175"
"208N","5","208N","City to Northgate","via Melbourne St, Galway Ave, Broadview and Folland Ave (terminates at Stop 26 Folland Ave, Northgate)","3","http://www.adelaidemetro.com.au/routes/208","990000","ffffff","206-208-528","1175","2022","01","31","1175"
"209F","5","209F","Tea Tree Plaza Interchange to City","via Milne Rd, Beovich Rd, Ingle Farm, Hampstead Rd, Regency Rd and Main North Rd (limited stop service, operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/209F","990000","ffffff","202-202F-203-203F-209F-N202","1175","2022","01","31","1175"
"222","5","222","Mawson Interchange to City","via Main North Rd and O'Connell St","3","http://www.adelaidemetro.com.au/routes/222","7030A0","ffffff","222","1175","2022","01","31","1175"
"222R","5","222R","City to Mawson Interchange","via O'Connell St, Main North Rd and Roma Mitchell Secondary College (operates school days only)","3","http://www.adelaidemetro.com.au/routes/222","7030A0","ffffff","222","1175","2022","01","31","1175"
"224","5","224","Elizabeth Interchange to City","via Philip Hwy, Lyell McEwin Hospital, Salisbury, Salisbury Hwy, Mawson Lakes, Main North Rd and O'Connell St","3","http://www.adelaidemetro.com.au/routes/224","7030A0","ffffff","224-224F-224X-N224","1175","2022","01","31","1175"
"224F","5","224F","Elizabeth Interchange to City","via Philip Hwy, Lyell McEwin Hospital, Salisbury, Salisbury Hwy, Mawson Lakes, Main North Rd and O'Connell St (limited stop service, operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/224","7030A0","ffffff","224-224F-224X-N224","1175","2022","01","31","1175"
"224M","5","224M","Elizabeth Interchange to Mawson Interchange","via Philip Hwy, Lyell McEwin Hospital, Salisbury, Salisbury Hwy and Mawson Lakes (terminates at Mawson Interchange)","3","http://www.adelaidemetro.com.au/routes/224","7030A0","ffffff","224-224F-224X-N224","1175","2022","01","31","1175"
"224X","5","224X","Elizabeth Interchange to City","via Philip Hwy, Lyell McEwin Hospital, Salisbury, Salisbury Hwy and Mawson Lakes then express from stop 29 Main North Rd, Gepps Cross to stop 4 O'Connell St, North Adelaide (operates Monday-Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/224","7030A0","ffffff","224-224F-224X-N224","1175","2022","01","31","1175"
"225","5","225","Salisbury Interchange to Gepps Cross","via Frost Rd, Kesters Rd, Mawson Lakes and Port Wakefield Rd","3","http://www.adelaidemetro.com.au/routes/225","7030A0","ffffff","225-225F-225X","1175","2022","01","31","1175"
"225F","5","225F","Salisbury Interchange to City","via Frost Rd, Kesters Rd, Mawson Lakes, Port Wakefield Rd and Main North Rd (limited stop service, operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/225","7030A0","ffffff","225-225F-225X","1175","2022","01","31","1175"
"225M","5","225M","Salisbury Interchange to Mawson Interchange","via Frost Rd, Kesters Rd and Mawson Lakes (terminates at Mawson Interchange)","3","http://www.adelaidemetro.com.au/routes/225","7030A0","ffffff","225-225F-225X","1175","2022","01","31","1175"
"225X","5","225X","Salisbury Interchange to City","via Frost Rd, Kesters Rd and Mawson Lakes, then express from Mawson Interchange to stop 29 Main North Rd, Gepps Cross then express to stop 4 O'Connell St, North Adelaide (operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/225","7030A0","ffffff","225-225F-225X","1175","2022","01","31","1175"
"228","5","228","Smithfield Interchange to City","via Midway Rd and Main North Rd","3","http://www.adelaidemetro.com.au/routes/228","7030A0","ffffff","228-228F-228X-T228","1175","2022","01","31","1175"
"228F","5","228F","Smithfield Interchange to City","via Midway Rd and Main North Rd (limited stop service, operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/228","7030A0","ffffff","228-228F-228X-T228","1175","2022","01","31","1175"
"228X","5","228X","Smithfield Interchange to City","via Midway Rd and Main North Rd then express from stop 29 Main North Rd, Gepps Cross to stop 4 O'Connell St, North Adelaide (operates  Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/228","7030A0","ffffff","228-228F-228X-T228","1175","2022","01","31","1175"
"229","5","229","Para Hills to Gepps Cross","via Kimba Rd, Baloo St and Main North Rd","3","http://www.adelaidemetro.com.au/routes/229","7030A0","ffffff","229-229F-229X","1175","2022","01","31","1175"
"229F","5","229F","Para Hills to City","via Kimba Rd, Baloo St and Main North Rd (limited stop service, operates Monday - Friday excluding public holidays)","3","http://www.adelaidemetro.com.au/routes/229","7030A0","ffffff","229-229F-229X","1175","2022","01","31","1175"
