Id,Linkid,Ordernumber,Name,Latitude,Longitude,Length
3577,3577,0,Marion Rd - Finniss St to George St,-35.006325,138.558136,"46,215"
3577,3577,1,Marion Rd - Finniss St to George St,-35.00909,138.5554,"46,215"
2892,2892,0,Marion Rd - Wheaton St to Thomas St,-34.972294,138.555601,"50,685"
2892,2892,1,Marion Rd - Wheaton St to Thomas St,-34.977179,138.555993,"50,685"
2891,2891,0,Marion Rd - Hawker Ave to South Tce,-34.977215,138.555564,"30,520"
2891,2891,1,Marion Rd - Hawker Ave to South Tce,-34.972312,138.555174,"30,520"
2890,2890,0,Marion Rd - Hawker Ave to Bray St,-34.977251,138.555991,"28,993"
2890,2890,1,Marion Rd - Hawker Ave to Bray St,-34.979653,138.556215,"28,993"
2890,2890,2,Marion Rd - Hawker Ave to Bray St,-34.980564,138.556232,"28,993"
2889,2889,0,Marion Rd - Bray St to Hawker Ave,-34.980564,138.555804,"25,323"
2889,2889,1,Marion Rd - Bray St to Hawker Ave,-34.979653,138.555777,"25,323"
2889,2889,2,Marion Rd - Bray St to Hawker Ave,-34.977269,138.555563,"25,323"
2864,2864,0,Marion Rd - Chambers St to Everley Rd,-34.995045,138.557291,"21,840"
2864,2864,1,Marion Rd - Chambers St to Everley Rd,-34.99574,138.557325,"21,840"
2864,2864,2,Marion Rd - Chambers St to Everley Rd,-34.998729,138.557597,"21,840"
2863,2863,0,Marion Rd - Everley Rd to Chambers St,-34.998729,138.55717,"21,840"
2863,2863,1,Marion Rd - Everley Rd to Chambers St,-34.995749,138.556886,"21,840"
2863,2863,2,Marion Rd - Everley Rd to Chambers St,-34.995045,138.556863,"21,840"
2862,2862,0,Marion Rd - Oaklands Rd to Chambers St,-34.993673,138.557222,"5,618"
2862,2862,1,Marion Rd - Oaklands Rd to Chambers St,-34.994973,138.557293,"5,618"
2861,2861,0,Marion Rd - Chambers St to Oaklands Rd ,-34.995072,138.556863,"6,042"
2861,2861,1,Marion Rd - Chambers St to Oaklands Rd ,-34.993692,138.556794,"6,042"
2860,2860,0,Marion Rd - Sixth Ave to Duncan Ave,-34.987065,138.55675,"20,492"
2860,2860,1,Marion Rd - Sixth Ave to Duncan Ave,-34.990983,138.557028,"20,492"
2859,2859,0,Marion Rd - Duncan Ave to Sixth Ave,-34.991001,138.5566,"32,700"
2859,2859,1,Marion Rd - Duncan Ave to Sixth Ave,-34.987083,138.556322,"32,700"
2857,2857,0,Marion Rd - Oaklands Rd to Duncan Ave,-34.993692,138.556794,"9,568"
2857,2857,1,Marion Rd - Oaklands Rd to Duncan Ave,-34.991001,138.5566,"9,568"
2852,2852,0,Marion Rd - Anzac Hwy to Glengyle Tce ( Tram Line ),-34.964096,138.55498,"20,916"
2852,2852,1,Marion Rd - Anzac Hwy to Glengyle Tce ( Tram Line ),-34.967076,138.555209,"20,916"
2852,2852,2,Marion Rd - Anzac Hwy to Glengyle Tce ( Tram Line ),-34.967418,138.555199,"20,916"
2851,2851,0,Marion Rd - Glengyle Tce ( Tram Line ) to Anzac Hwy,-34.967436,138.554771,"33,200"
2851,2851,1,Marion Rd - Glengyle Tce ( Tram Line ) to Anzac Hwy,-34.967085,138.55477,"33,200"
2851,2851,2,Marion Rd - Glengyle Tce ( Tram Line ) to Anzac Hwy,-34.964115,138.554552,"33,200"
2850,2850,0,Marion Rd - Glengyle Tce ( tram line ) to Cross Rd ,-34.967409,138.555199,"1,653"
2850,2850,1,Marion Rd - Glengyle Tce ( tram line ) to Cross Rd ,-34.968186,138.555307,"1,653"
2849,2849,0,Marion Rd - Cross Rd to Glengyle Tce ( tram line ) ,-34.968223,138.554879,"2,175"
2849,2849,1,Marion Rd - Cross Rd to Glengyle Tce ( tram line ) ,-34.967445,138.554771,"2,175"
2848,2848,0,Marion Rd - Mooringe Ave to Lydia St,-34.959736,138.554671,"6,262"
2848,2848,1,Marion Rd - Mooringe Ave to Lydia St,-34.961623,138.554834,"6,262"
2847,2847,0,Marion Rd - Lydia St to Mooringie Ave,-34.96166,138.554406,"8,686"
2847,2847,1,Marion Rd - Lydia St to Mooringie Ave,-34.959754,138.554244,"8,686"
2846,2846,0,Marion Rd - Lydia St to Anzac Highway,-34.961614,138.554835,"30,798"
2846,2846,1,Marion Rd - Lydia St to Anzac Highway,-34.964096,138.55498,"30,798"
2845,2845,0,Marion Rd - Anzac Hwy to Lydia St,-34.964115,138.554552,"10,440"
2845,2845,1,Marion Rd - Anzac Hwy to Lydia St,-34.961669,138.554406,"10,440"
2665,2665,0,Marion Rd - Avalon Rd to Peter St,-34.99872,138.557598,"54,300"
2665,2665,1,Marion Rd - Avalon Rd to Peter St,-35.005229,138.558083,"54,300"
2664,2664,0,Marion Rd - Peter St to Avalon Rd,-35.005248,138.557656,"34,028"
2664,2664,1,Marion Rd - Peter St to Avalon Rd,-34.998738,138.55717,"34,028"
2663,2663,0,Marion Rd - Peter St to Finniss St,-35.005229,138.558083,"3,270"
2663,2663,1,Marion Rd - Peter St to Finniss St,-35.006214,138.558164,"3,270"
2662,2662,0,Marion Rd - Finniss St to Peter St,-35.006232,138.557736,"2,071"
2662,2662,1,Marion Rd - Finniss St to Peter St,-35.005248,138.557656,"2,071"
1961,1961,0,Marion Rd - Wheaton St to Raglan Ave,-34.972294,138.555601,"1,836"
1961,1961,1,Marion Rd - Wheaton St to Raglan Ave,-34.980564,138.556232,"1,836"
1960,1960,0,Marion Rd - Bray St to South Tce,-34.980564,138.555804,"1,836"
1960,1960,1,Marion Rd - Bray St to South Tce,-34.972312,138.555174,"1,836"
1959,1959,0,Marion Rd - Cross Rd to Wheaton St,-34.968195,138.555307,"26,845"
1959,1959,1,Marion Rd - Cross Rd to Wheaton St,-34.972294,138.555601,"26,845"
1958,1958,0,Marion Rd - South Tce to Cross Rd,-34.972312,138.555174,"35,035"
1958,1958,1,Marion Rd - South Tce to Cross Rd,-34.968214,138.554879,"35,035"
1941,1941,0,Marion Rd - Galway Ave to Hawson Ave,-34.949147,138.553924,"35,297"
1941,1941,1,Marion Rd - Galway Ave to Hawson Ave,-34.95589,138.554413,"35,297"
