Route Id,Stop Id (Gtfs History Prod.Stops.Csv),Stop Name,Stop Id (Gtfs History Prod.Stops.Csv),Stop Lat,Stop Lon
INDSTA,4953,Stop Industrial Alawoona Ave / Marion Rd,"4,953",-35.00755801,138.5595444
989,5229,Stop 29C Marion Rd - West side,"5,229",-35.023649,138.559271
640,5229,Stop 29C Marion Rd - West side,"5,229",-35.023649,138.559271
989,5222,Stop 29C Marion Rd - East side,"5,222",-35.023759,138.559592
977,5222,Stop 29C Marion Rd - East side,"5,222",-35.023759,138.559592
640,5222,Stop 29C Marion Rd - East side,"5,222",-35.023759,138.559592
989,5163,Stop 29B Marion Rd - West side,"5,163",-35.02067875,138.5590387
640,5163,Stop 29B Marion Rd - West side,"5,163",-35.02067875,138.5590387
989,5164,Stop 29B Marion Rd - East side,"5,164",-35.02074465,138.5594262
977,5164,Stop 29B Marion Rd - East side,"5,164",-35.02074465,138.5594262
640,5164,Stop 29B Marion Rd - East side,"5,164",-35.02074465,138.5594262
989,101320,Stop 27 Marion Rd - West side,"101,320",-35.01515,138.55848
976,101320,Stop 27 Marion Rd - West side,"101,320",-35.01515,138.55848
101,101320,Stop 27 Marion Rd - West side,"101,320",-35.01515,138.55848
977,101319,Stop 27 Marion Rd - East side,"101,319",-35.01538,138.55888
101,101319,Stop 27 Marion Rd - East side,"101,319",-35.01538,138.55888
989,101318,Stop 26 Marion Rd - West side,"101,318",-35.0119,138.55815
976,101318,Stop 26 Marion Rd - West side,"101,318",-35.0119,138.55815
101,101318,Stop 26 Marion Rd - West side,"101,318",-35.0119,138.55815
977,101317,Stop 26 Marion Rd - East Side,"101,317",-35.01257,138.55865
101,101317,Stop 26 Marion Rd - East Side,"101,317",-35.01257,138.55865
989,7275,Stop 25 Marion Rd - West side,"7,275",-35.00864,138.55798
976,7275,Stop 25 Marion Rd - West side,"7,275",-35.00864,138.55798
101,7275,Stop 25 Marion Rd - West side,"7,275",-35.00864,138.55798
977,7276,Stop 25 Marion Rd - East side,"7,276",-35.00857436,138.55833
101,7276,Stop 25 Marion Rd - East side,"7,276",-35.00857436,138.55833
M44T,4895,Stop 24 Marion Rd - West side,"4,895",-35.003081,138.557608
M44C,4895,Stop 24 Marion Rd - West side,"4,895",-35.003081,138.557608
M44,4895,Stop 24 Marion Rd - West side,"4,895",-35.003081,138.557608
989,4895,Stop 24 Marion Rd - West side,"4,895",-35.003081,138.557608
976,4895,Stop 24 Marion Rd - West side,"4,895",-35.003081,138.557608
101,4895,Stop 24 Marion Rd - West side,"4,895",-35.003081,138.557608
M44,4890,Stop 24 Marion Rd - East side,"4,890",-35.004047,138.557909
993,4890,Stop 24 Marion Rd - East side,"4,890",-35.004047,138.557909
989,4890,Stop 24 Marion Rd - East side,"4,890",-35.004047,138.557909
977,4890,Stop 24 Marion Rd - East side,"4,890",-35.004047,138.557909
973,4890,Stop 24 Marion Rd - East side,"4,890",-35.004047,138.557909
971,4890,Stop 24 Marion Rd - East side,"4,890",-35.004047,138.557909
101,4890,Stop 24 Marion Rd - East side,"4,890",-35.004047,138.557909
M44T,4817,Stop 23 Marion Rd - West side,"4,817",-34.99906,138.5573
M44C,4817,Stop 23 Marion Rd - West side,"4,817",-34.99906,138.5573
M44,4817,Stop 23 Marion Rd - West side,"4,817",-34.99906,138.5573
989,4817,Stop 23 Marion Rd - West side,"4,817",-34.99906,138.5573
976,4817,Stop 23 Marion Rd - West side,"4,817",-34.99906,138.5573
101,4817,Stop 23 Marion Rd - West side,"4,817",-34.99906,138.5573
M44,4819,Stop 23 Marion Rd - East side,"4,819",-34.99925,138.55754
989,4819,Stop 23 Marion Rd - East side,"4,819",-34.99925,138.55754
978,4819,Stop 23 Marion Rd - East side,"4,819",-34.99925,138.55754
977,4819,Stop 23 Marion Rd - East side,"4,819",-34.99925,138.55754
973,4819,Stop 23 Marion Rd - East side,"4,819",-34.99925,138.55754
971,4819,Stop 23 Marion Rd - East side,"4,819",-34.99925,138.55754
101,4819,Stop 23 Marion Rd - East side,"4,819",-34.99925,138.55754
M44T,4768,Stop 22 Marion Rd - West side,"4,768",-34.9968,138.55709
M44C,4768,Stop 22 Marion Rd - West side,"4,768",-34.9968,138.55709
M44,4768,Stop 22 Marion Rd - West side,"4,768",-34.9968,138.55709
989,4768,Stop 22 Marion Rd - West side,"4,768",-34.9968,138.55709
976,4768,Stop 22 Marion Rd - West side,"4,768",-34.9968,138.55709
101,4768,Stop 22 Marion Rd - West side,"4,768",-34.9968,138.55709
M44,4766,Stop 22 Marion Rd - East side,"4,766",-34.99682,138.55739
989,4766,Stop 22 Marion Rd - East side,"4,766",-34.99682,138.55739
977,4766,Stop 22 Marion Rd - East side,"4,766",-34.99682,138.55739
973,4766,Stop 22 Marion Rd - East side,"4,766",-34.99682,138.55739
971,4766,Stop 22 Marion Rd - East side,"4,766",-34.99682,138.55739
101,4766,Stop 22 Marion Rd - East side,"4,766",-34.99682,138.55739
M44T,4735,Stop 21 Marion Rd - West side,"4,735",-34.99442691,138.5568795
M44C,4735,Stop 21 Marion Rd - West side,"4,735",-34.99442691,138.5568795
M44,4735,Stop 21 Marion Rd - West side,"4,735",-34.99442691,138.5568795
989,4735,Stop 21 Marion Rd - West side,"4,735",-34.99442691,138.5568795
101,4735,Stop 21 Marion Rd - West side,"4,735",-34.99442691,138.5568795
M44,4702,Stop 21 Marion Rd - East side,"4,702",-34.99293413,138.5570771
989,4702,Stop 21 Marion Rd - East side,"4,702",-34.99293413,138.5570771
971,4702,Stop 21 Marion Rd - East side,"4,702",-34.99293413,138.5570771
101,4702,Stop 21 Marion Rd - East side,"4,702",-34.99293413,138.5570771
M44T,4655,Stop 20 Marion Rd - West side,"4,655",-34.99038428,138.5565973
M44C,4655,Stop 20 Marion Rd - West side,"4,655",-34.99038428,138.5565973
M44,4655,Stop 20 Marion Rd - West side,"4,655",-34.99038428,138.5565973
989,4655,Stop 20 Marion Rd - West side,"4,655",-34.99038428,138.5565973
101,4655,Stop 20 Marion Rd - West side,"4,655",-34.99038428,138.5565973
M44,4651,Stop 20 Marion Rd - East side,"4,651",-34.98952,138.55683
989,4651,Stop 20 Marion Rd - East side,"4,651",-34.98952,138.55683
971,4651,Stop 20 Marion Rd - East side,"4,651",-34.98952,138.55683
101,4651,Stop 20 Marion Rd - East side,"4,651",-34.98952,138.55683
M44T,4604,Stop 19 Marion Rd - West side,"4,604",-34.98639,138.55635
M44C,4604,Stop 19 Marion Rd - West side,"4,604",-34.98639,138.55635
M44,4604,Stop 19 Marion Rd - West side,"4,604",-34.98639,138.55635
989,4604,Stop 19 Marion Rd - West side,"4,604",-34.98639,138.55635
101,4604,Stop 19 Marion Rd - West side,"4,604",-34.98639,138.55635
M44,4607,Stop 19 Marion Rd - East side,"4,607",-34.98633518,138.5565734
989,4607,Stop 19 Marion Rd - East side,"4,607",-34.98633518,138.5565734
971,4607,Stop 19 Marion Rd - East side,"4,607",-34.98633518,138.5565734
101,4607,Stop 19 Marion Rd - East side,"4,607",-34.98633518,138.5565734
M44T,4566,Stop 18 Marion Rd - West side,"4,566",-34.98469,138.55623
M44C,4566,Stop 18 Marion Rd - West side,"4,566",-34.98469,138.55623
