Linkid,Ordernumber,Name,Latitude,Longitude,Length
3574,0,South Rd - Anzac Hwy to Everard Ave,-34.953388,138.571091,85892
3574,1,South Rd - Anzac Hwy to Everard Ave,-34.951374,138.571106,85892
3574,2,South Rd - Anzac Hwy to Everard Ave,-34.950237,138.571213,85892
3574,3,South Rd - Anzac Hwy to Everard Ave,-34.949978,138.57132,85892
3574,4,South Rd - Anzac Hwy to Everard Ave,-34.946342,138.571136,85892
3573,0,South Rd - Pleasant Ave to Anzac Hwy,-34.96102,138.572235,62634
3573,1,South Rd - Pleasant Ave to Anzac Hwy,-34.956932,138.5719,62634
3573,2,South Rd - Pleasant Ave to Anzac Hwy,-34.954933,138.5713,62634
3573,3,South Rd - Pleasant Ave to Anzac Hwy,-34.953407,138.571091,62634
2872,0,South Rd - Price St to Furness Ave,-34.980942,138.574183,15190
2872,1,South Rd - Price St to Furness Ave,-34.983164,138.574369,15190
2871,0,South Rd - Furness Ave to Price St,-34.983182,138.573941,15435
2871,1,South Rd - Furness Ave to Price St,-34.980988,138.573754,15435
2870,0,South Rd - Raglan Ave to Price St,-34.979606,138.574058,4023
2870,1,South Rd - Raglan Ave to Price St,-34.980933,138.574172,4023
2869,0,South Rd - Price St to Raglan Ave,-34.980961,138.573744,4172
2869,1,South Rd - Price St to Raglan Ave,-34.979642,138.57363,4172
2820,0,South Rd - John St to Barwell Ave,-34.943141,138.571367,25488
2820,1,South Rd - John St to Barwell Ave,-34.946328,138.571601,25488
2819,0,South Rd - Barwell Ave to John St,-34.946347,138.571174,21948
2819,1,South Rd - Barwell Ave to John St,-34.94316,138.570939,21948
2818,0,South Rd - Richmond Rd to John St,-34.942112,138.571266,4218
2818,1,South Rd - Richmond Rd to John St,-34.943015,138.57136,4218
2817,0,South Rd - John St to Richmond Rd,-34.943052,138.570932,2166
2817,1,South Rd - John St to Richmond Rd,-34.942148,138.570838,2166
1975,0,South Rd - Cross Rd to Albert St,-34.967249,138.573295,68040
1975,1,South Rd - Cross Rd to Albert St,-34.969064,138.573438,68040
1975,2,South Rd - Cross Rd to Albert St,-34.970237,138.573469,68040
1975,3,South Rd - Cross Rd to Albert St,-34.970533,138.573428,68040
1975,4,South Rd - Cross Rd to Albert St,-34.97455,138.573703,68040
1974,0,South Rd - Albert St to Cross Rd,-34.974569,138.573276,99630
1974,1,South Rd - Albert St to Cross Rd,-34.970046,138.572949,99630
1974,2,South Rd - Albert St to Cross Rd,-34.969646,138.572786,99630
1974,3,South Rd - Albert St to Cross Rd,-34.967297,138.572537,99630
1973,0,South Rd - School Ave to Albert St,-34.961044,138.5727,131544
1973,1,South Rd - School Ave to Albert St,-34.97455,138.573703,131544
1972,0,South Rd - Albert St to Pleasant Ave,-34.974569,138.573276,99792
1972,1,South Rd - Albert St to Pleasant Ave,-34.961099,138.572271,99792
1971,0,South Rd - Albert St to Edward St,-34.97455,138.573703,38285
1971,1,South Rd - Albert St to Edward St,-34.978179,138.573969,38285
1970,0,South Rd - Ackland St to Albert St,-34.978171,138.573531,21762
1970,1,South Rd - Ackland St to Albert St,-34.974569,138.573276,21762
1967,0,South Rd - Furness Ave to Corunna Ave,-34.983164,138.574369,14342
1967,1,South Rd - Furness Ave to Corunna Ave,-34.984978,138.574502,14342
1966,0,South Rd - Corunna Ave to Furness Ave,-34.984997,138.574074,17170
1966,1,South Rd - Corunna Ave to Furness Ave,-34.983182,138.573941,17170
1965,0,South Rd - Raglan Ave to Furness Ave,-34.979606,138.574058,790
1965,1,South Rd - Raglan Ave to Furness Ave,-34.983164,138.574369,790
1964,0,South Rd - Furness Ave to Raglan Ave,-34.983182,138.573941,790
1964,1,South Rd - Furness Ave to Raglan Ave,-34.979642,138.57363,790
1963,0,South Rd - Edward St to Raglan Ave,-34.97817,138.573958,7680
1963,1,South Rd - Edward St to Raglan Ave,-34.979615,138.574058,7680
1962,0,South Rd - Raglan Ave to Ackland St,-34.979633,138.57363,4960
1962,1,South Rd - Raglan Ave to Ackland St,-34.978189,138.57353,4960
1611,0,South Rd - Daws Rd to Southern Ave,-34.992806,138.575114,14526
1611,1,South Rd - Daws Rd to Southern Ave,-34.994837,138.57523,14526
1610,0,South Rd - Southern Ave to Daws Rd,-34.994855,138.574802,16409
1610,1,South Rd - Southern Ave to Daws Rd,-34.992797,138.574676,16409
1609,0,South Rd - Southern Ave to Celtic Ave,-34.995216,138.575262,23046
1609,1,South Rd - Southern Ave to Celtic Ave,-34.999721,138.575589,23046
1608,0,South Rd - Celtic Ave to Southern Ave,-34.999739,138.575162,33567
1608,1,South Rd - Celtic Ave to Southern Ave,-34.995235,138.574834,33567
1607,0,South Rd - Celtic Ave to Walsh Ave,-34.999721333,138.57559,7125
1607,1,South Rd - Celtic Ave to Walsh Ave,-35.003097333,138.575806667,7125
1606,0,South Rd - Walsh Ave to Celtic Ave,-35.003117,138.575378,11250
1606,1,South Rd - Walsh Ave to Celtic Ave,-34.999741,138.575165,11250
1605,0,South Rd - Walsh Ave to Tonsley Access,-35.003299333,138.575852667,33920
1605,1,South Rd - Walsh Ave to Tonsley Access,-35.007725333,138.576155333,33920
1604,0,South Rd - Tonsley Access to Walsh Ave ,-35.007831333,138.575646333,26500
1604,1,South Rd - Tonsley Access to Walsh Ave ,-35.004632,138.575343667,26500
1604,2,South Rd - Tonsley Access to Walsh Ave ,-35.00696,138.575211,26500
1604,3,South Rd - Tonsley Access to Walsh Ave ,-35.00652,138.575256,26500
1604,4,South Rd - Tonsley Access to Walsh Ave ,-35.005703,138.575516,26500
1604,5,South Rd - Tonsley Access to Walsh Ave ,-35.00332,138.575363,26500
1603,0,South Rd - Ayliffes Rd to Tonsley Access,-35.011283333,138.575856333,26928
1603,1,South Rd - Ayliffes Rd to Tonsley Access,-35.010637333,138.575876333,26928
1603,2,South Rd - Ayliffes Rd to Tonsley Access,-35.009761333,138.575854,26928
1603,3,South Rd - Ayliffes Rd to Tonsley Access,-35.008336667,138.57576,26928
1603,4,South Rd - Ayliffes Rd to Tonsley Access,-35.00844,138.5758,26928
1603,5,South Rd - Ayliffes Rd to Tonsley Access,-35.008077,138.575597,26928
1602,0,South Rd - Tonsley Access to Ayliffes Rd,-35.007872667,138.576172333,26554
1602,1,South Rd - Tonsley Access to Ayliffes Rd,-35.009641667,138.576314333,26554
1602,2,South Rd - Tonsley Access to Ayliffes Rd,-35.010732,138.576387667,26554
1602,3,South Rd - Tonsley Access to Ayliffes Rd,-35.011256,138.576301,26554
698,0,South Rd - Edward St to Corunna Ave,-34.97817,138.573958,1514
698,1,South Rd - Edward St to Corunna Ave,-34.984978,138.574502,1514
697,0,South Rd - Corunna Ave to Edward St,-34.984997,138.574074,1514
697,1,South Rd - Corunna Ave to Edward St,-34.978189,138.57353,1514
696,0,South Rd - Corunna Ave to Daws Rd,-34.984978,138.574502,72127
696,1,South Rd - Corunna Ave to Daws Rd,-34.992797,138.575104,72127
695,0,South Rd - Daws Rd to Corunna Ave,-34.992815,138.574676,71258
695,1,South Rd - Daws Rd to Corunna Ave,-34.984997,138.574074,71258
694,0,South Rd - Ayliffes Rd to Celtic Ave,-35.01122,138.575874,2558
694,1,South Rd - Ayliffes Rd to Celtic Ave,-34.999739,138.575162,2558
693,0,South Rd - Celtic Ave to Ayliffes Rd,-34.999721,138.575589,2558
693,1,South Rd - Celtic Ave to Ayliffes Rd,-35.010824,138.576357,2558
692,0,South Rd - Celtic Ave to Daws Rd,-34.999739,138.575162,1540
692,1,South Rd - Celtic Ave to Daws Rd,-34.992797,138.574676,1540
691,0,South Rd - Daws Rd to Celtic Ave,-34.992806,138.575114,1540
691,1,South Rd - Daws Rd to Celtic Ave,-34.999721,138.575589,1540
628,0,South Rd - Everard Ave to School Ave PAC,-34.946319,138.571602,102375
628,1,South Rd - Everard Ave to School Ave PAC,-34.949822,138.571849,102375
628,2,South Rd - Everard Ave to School Ave PAC,-34.952435,138.571772,102375
628,3,South Rd - Everard Ave to School Ave PAC,-34.955108,138.571999,102375
628,4,South Rd - Everard Ave to School Ave PAC,-34.956195,138.572274,102375
628,5,South Rd - Everard Ave to School Ave PAC,-34.958318,138.572507,102375
628,6,South Rd - Everard Ave to School Ave PAC,-34.960945,138.572692,102375
627,0,South Rd - School Ave PAC to Everard Ave,-34.960963,138.572264,138125
627,1,South Rd - School Ave PAC to Everard Ave,-34.956892,138.571969,138125
627,2,South Rd - School Ave PAC to Everard Ave,-34.95537,138.571608,138125
627,3,South Rd - School Ave PAC to Everard Ave,-34.952435,138.571334,138125
