"op","dms_update_ts","id","createdat","linkid","prioritytype","incidenttype","expirytime","expireusingexcessdelay","isactive","parentincidentid","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day"
"I","2022-01-23 10:21:22.733000","238191","2022-01-23 20:51:00.0000000 +10:30","3892","5","0","",,,"0","dbo","BeaconIncidents","20","2022","01","23"
"U","2022-01-23 10:21:42.213000","238191","2022-01-23 20:51:00.0000000 +10:30","3892","5","3","",,,"0","dbo","BeaconIncidents","20","2022","01","23"
"I","2022-01-07 01:14:12.683000","237141","2022-01-07 11:41:30.0000000 +10:30","634","5","3","",,,"0","dbo","BeaconIncidents","11","2022","01","07"
"I","2022-01-07 01:14:12.683000","237142","2022-01-07 11:43:30.0000000 +10:30","696","5","0","",,,"0","dbo","BeaconIncidents","11","2022","01","07"
"D","2022-01-07 01:14:12.683000","237140","2022-01-07 11:34:01.0000000 +10:30","2719","5","3","",,,"237130","dbo","BeaconIncidents","11","2022","01","07"
"I","2022-01-17 05:15:06.017000","237664","2022-01-17 15:45:01.0000000 +10:30","1973","5","0","",,,"0","dbo","BeaconIncidents","15","2022","01","17"
"I","2022-01-16 23:18:24.077000","237635","2022-01-17 09:48:00.0000000 +10:30","210","5","0","",,,"0","dbo","BeaconIncidents","09","2022","01","17"
"U","2022-01-16 23:18:34.537000","237635","2022-01-17 09:48:00.0000000 +10:30","210","5","7","",,,"0","dbo","BeaconIncidents","09","2022","01","17"
"I","2022-01-16 23:51:24.060000","237638","2022-01-17 10:21:00.0000000 +10:30","2522","5","0","",,,"0","dbo","BeaconIncidents","10","2022","01","17"
"I","2022-01-07 06:36:42.350000","237161","2022-01-07 17:06:30.0000000 +10:30","3149","5","0","",,,"0","dbo","BeaconIncidents","17","2022","01","07"
"I","2022-01-30 22:42:42.777000","238689","2022-01-31 09:12:30.0000000 +10:30","943","5","0","",,,"0","dbo","BeaconIncidents","09","2022","01","31"
"D","2022-01-30 22:42:42.777000","238688","2022-01-31 09:09:02.0000000 +10:30","2636","5","0","",,,"0","dbo","BeaconIncidents","09","2022","01","31"
"U","2022-01-30 22:43:22.873000","238689","2022-01-31 09:12:30.0000000 +10:30","943","5","3","",,,"0","dbo","BeaconIncidents","09","2022","01","31"
"D","2022-01-02 02:13:20.627000","236949","2022-01-02 12:15:01.0000000 +10:30","100","5","0","",,,"0","dbo","BeaconIncidents","12","2022","01","02"
"I","2022-01-25 13:31:07.747000","238354","2022-01-26 00:00:00.0000000 +10:30","3794","5","0","",,,"0","dbo","BeaconIncidents","00","2022","01","26"
"D","2022-01-03 13:49:57.643000","236992","2022-01-04 00:09:30.0000000 +10:30","3484","5","0","",,,"0","dbo","BeaconIncidents","00","2022","01","04"
"I","2021-12-31 15:41:21.803000","236905","2022-01-01 02:11:00.0000000 +10:30","3585","5","0","",,,"0","dbo","BeaconIncidents","02","2022","01","01"
"U","2022-01-23 05:33:25.343000","238187","2022-01-23 16:01:30.0000000 +10:30","2523","5","4","",,,"0","dbo","BeaconIncidents","16","2022","01","23"
"D","2021-12-31 15:39:42.250000","236901","2022-01-01 00:53:30.0000000 +10:30","3487","5","0","",,,"236903","dbo","BeaconIncidents","02","2022","01","01"
"I","2022-01-12 23:58:09.720000","237411","2022-01-13 10:28:00.0000000 +10:30","3705","5","0","",,,"0","dbo","BeaconIncidents","10","2022","01","13"
"I","2022-01-23 04:54:23.740000","238186","2022-01-23 15:24:00.0000000 +10:30","3102","5","0","",,,"0","dbo","BeaconIncidents","15","2022","01","23"
"D","2022-01-08 12:48:42.507000","237200","2022-01-08 23:14:00.0000000 +10:30","3815","5","0","",,,"0","dbo","BeaconIncidents","23","2022","01","08"
"D","2022-01-31 10:21:34.710000","238737","2022-01-31 19:57:30.0000000 +10:30","3892","5","3","",,,"0","dbo","BeaconIncidents","20","2022","01","31"
"D","2022-01-12 15:59:34.367000","237400","2022-01-13 01:56:00.0000000 +10:30","2538","5","0","",,,"237398","dbo","BeaconIncidents","02","2022","01","13"
"I","2022-01-02 07:24:19.290000","236958","2022-01-02 17:54:00.0000000 +10:30","3706","5","0","",,,"0","dbo","BeaconIncidents","17","2022","01","02"
"I","2022-01-26 10:13:12.430000","238408","2022-01-26 20:41:00.0000000 +10:30","3804","5","3","",,,"0","dbo","BeaconIncidents","20","2022","01","26"
"I","2022-01-26 10:13:12.430000","238409","2022-01-26 20:41:30.0000000 +10:30","3892","5","3","",,,"0","dbo","BeaconIncidents","20","2022","01","26"
"I","2022-01-30 13:54:33.780000","238669","2022-01-31 00:24:00.0000000 +10:30","1455","5","0","",,,"0","dbo","BeaconIncidents","00","2022","01","31"
"I","2022-01-03 16:25:42.260000","236995","2022-01-04 02:55:30.0000000 +10:30","2632","5","0","",,,"0","dbo","BeaconIncidents","02","2022","01","04"
"I","2022-01-03 01:25:42.440000","236971","2022-01-03 11:55:31.0000000 +10:30","3786","5","0","",,,"0","dbo","BeaconIncidents","11","2022","01","03"
"D","2022-01-04 09:21:42.747000","237019","2022-01-04 19:32:00.0000000 +10:30","3706","5","0","",,,"0","dbo","BeaconIncidents","19","2022","01","04"
"D","2022-01-07 16:01:59.597000","237167","2022-01-08 02:20:00.0000000 +10:30","1482","5","0","",,,"0","dbo","BeaconIncidents","02","2022","01","08"
"I","2022-01-30 22:18:43.593000","238687","2022-01-31 08:48:30.0000000 +10:30","2931","5","0","",,,"0","dbo","BeaconIncidents","08","2022","01","31"
"D","2022-01-30 22:19:34.803000","238683","2022-01-31 08:21:01.0000000 +10:30","83","5","0","",,,"0","dbo","BeaconIncidents","08","2022","01","31"
"D","2022-01-03 12:17:18.350000","236989","2022-01-03 22:17:30.0000000 +10:30","2538","5","0","",,,"0","dbo","BeaconIncidents","22","2022","01","03"
"D","2022-01-31 01:01:42.533000","238694","2022-01-31 11:26:00.0000000 +10:30","3705","5","0","",,,"0","dbo","BeaconIncidents","11","2022","01","31"
"D","2022-01-08 05:38:42.637000","237184","2022-01-08 15:50:00.0000000 +10:30","3706","5","0","",,,"0","dbo","BeaconIncidents","16","2022","01","08"
