"op","dms_update_ts","linkid","ordernumber","longitude","latitude","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day"
"U","2022-01-20 23:15:22.780000","1822","0","138.69606","-34.678761","dbo","BTLinkGeometry","09","2022","01","21"
"U","2022-01-20 23:15:22.780000","1822","1","138.699127","-34.673706","dbo","BTLinkGeometry","09","2022","01","21"
"U","2022-01-20 23:15:22.780000","1822","2","138.699707","-34.672344","dbo","BTLinkGeometry","09","2022","01","21"
"U","2022-01-20 23:15:22.780000","1822","3","138.7061","-34.661079","dbo","BTLinkGeometry","09","2022","01","21"
"U","2022-01-20 23:15:22.780000","1822","4","138.706299","-34.660793","dbo","BTLinkGeometry","09","2022","01","21"
"U","2022-01-20 23:15:22.780000","1822","5","138.724258","-34.639359","dbo","BTLinkGeometry","09","2022","01","21"
"U","2022-01-20 23:15:22.780000","1823","0","138.724777","-34.639648","dbo","BTLinkGeometry","09","2022","01","21"
"U","2022-01-20 23:15:22.780000","1823","1","138.706512","-34.66153","dbo","BTLinkGeometry","09","2022","01","21"
"U","2022-01-20 23:15:22.780000","1823","2","138.700165","-34.672768","dbo","BTLinkGeometry","09","2022","01","21"
"U","2022-01-20 23:15:22.780000","1823","3","138.699661","-34.674023","dbo","BTLinkGeometry","09","2022","01","21"
"U","2022-01-20 23:15:22.780000","1823","4","138.696625","-34.679005","dbo","BTLinkGeometry","09","2022","01","21"
