"op","instance_id","id","name","activity_id","entry_status_username","startenddescription","enabled","stdevadjustmultiplier","schema_name","status_date","ingest_hour","ingest_year","ingest_month","ingest_day"
"I","2021-10-01 05:12:24.393170","365","Mt Barker Rd (Devils Elbow to Crafers)","1","Mt Barker Rd","Devils Elbow - Crafers","true","+1.0000000000000000e+00","dbo",,"14","2021","10","01"
"I","2021-10-01 05:13:21.293398","366","Mt Barker Rd - Crafers to Devils Elbow","1","Mt Barker Rd","Crafers - Devils Elbow","true","+1.0000000000000000e+00","dbo",,"14","2021","10","01"
"U","2021-09-30 17:20:42.274551","280","VMS 916 to A9 Port River Expressway via M2 North South Motorway","1","M2 North South Motorway","VMS 916 to A9 Port River Expressway","true","+1.0000000000000000e+00","dbo",,"02","2021","10","01"
"U","2021-09-30 17:21:21.942890","282","VMS 916 to Gepps Cross via Port Wakefield Road","1","Port Wakefield Road","VMS 916 to Gepps Cross","true","+1.0000000000000000e+00","dbo",,"02","2021","10","01"
"I","2021-09-03 01:53:32.873002","363","The Parade - Glynburn Road to Fullarton Road","1","The Parade","Glynburn Road to Fullarton Road","true","+1.0000000000000000e+00","dbo",,"11","2021","09","03"
"I","2021-08-10 11:10:27.722834","361","VMS061 to Keswick","1","SEF > Glen Osmond rd > Greenhill Rd","","true","+1.0000000000000000e+00","dbo",,"20","2021","08","10"
"I","2021-09-03 01:54:52.877014","364","The Parade - Fullarton Road to Glynburn Road","1","The Parade","Fullarton Road to Glynburn Road","true","+1.0000000000000000e+00","dbo",,"11","2021","09","03"
"I","2021-10-14 21:58:27.593000","370","M1 South Eastern Freeway - Crafers to Mount Osmond","1","M1 South Eastern Freeway","Crafers to Mount Osmdon","true","+1.0000000000000000e+00","dbo",,"08","2021","10","15"
"I","2021-07-06 01:49:38.770848","6","501-North-East to City - via North East Rd","1","NE RD / HACKNEY RD (CB)","Holden Hill to City","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770875","7","501-North-East to City - via Lower North East Rd","1","LWR NE RD / PAYNEHAM (CB)","Holden Hill to City","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770883","12","55-South Eastern Fwy - Stirling to Toll Gate","1","M1 SOUTH EASTERN FWY (CB)","Stirling to Tollgate","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770889","13","51-South Eastern Fwy - Toll Gate to Stirling","1","M1 SOUTH EASTERN FWY (OB)","Tollgate to Stirling","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770896","21","408-Sherriffs / South to Darlington via Main South Rd","1","A13 MAIN SOUTH RD (CB)","Sherriffs to Darlington","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770903","22","408-Sherriffs / South to Darlington via Southern Exy","1","M2 SOUTHERN EXY (CB)","Sherriffs to Darlington","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770909","23","413-Doctors / Main South / Beach to Darlington via Main South Rd","1","A13 MAIN SOUTH RD (CB)","Beach to Darlington","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770917","24","413-Doctors / Main South / Beach to Darlington via Southern Exy","1","M2 SOUTHERN EXY (CB)","Beach to Darlington","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770923","25","414-Old Noarlunga to Darlington - via Southern Exy","1","M2 SOUTHERN EXY (CB)","Old Noarlunga to Darlington","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770930","26","414-Old Noarlunga to Darlington - via Main South Rd","1","A13 MAIN SOUTH RD (CB)","Old Noarlunga to Darlington","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770937","29","413-South / Beach / Doctors to Old Noarlunga - Via Main South Rd","1","A13 MAIN SOUTH RD (SB)","Beach to Old Noarlunga","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770944","30","413-South / Beach / Doctors to Old Noarlunga - Via Southern Exy","1","M2 SOUTHERN EXY (SB)","Beach to Old Noarlunga","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770950","31","408-Sherriffs / South to Old Noarlunga via Southern Exy","1","M2 SOUTHERN EXY (SB)","Sherriffs to Old Noarlunga","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770957","32","408-Sherriffs / South to Old Noarlunga via Main South Rd","1","A13 MAIN SOUTH RD (SB)","Sherriffs to Old Noarlunga","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770964","33","55-South Eastern Fwy - Stirling to City","1","ACH / GLEN OSMOND RD (CB)","VMS055 to City","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770970","34","54-South Eastern Fwy - Stirling to Toll Gate","1","M1 SOUTH EASTERN FWY (CB)","CAM132 to Toll Gate","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770977","35","54-South Eastern Fwy - Stirling to City","1","ACH / GLEN OSMOND RD (CB)","CAM132 to City","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770983","36","53-South Eastern Fwy - Crafers to Toll Gate","1","M1 SOUTH EASTERN FWY (CB)","Tunnels to Toll Gate","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770990","37","53-South Eastern Fwy - Crafers to City","1","ACH / GLEN OSMOND RD (CB)","Tunnels to City ","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.770996","38","402- Darlington to City via Marion Rd","1","A14 MARION RD (CB)","O'Halloran Hill to City","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771003","39","402- Darlington to City via South Rd","1","A13 SOUTH RD (CB)","O'Halloran Hill to City","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771009","40","402- Darlington to City via Goodwood Rd","1","GOODWOOD RD (CB)","O'Halloran Hill to City","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771015","42","403-Southern Expressway SB - Seacombe Rd to Sherriffs Rd Interchange","1","M2 SOUTHERN EXY (SB)","Seacombe Rd to Sherriffs Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771022","43","403-Southern Expressway SB - Seacombe Rd to Beach Rd Interchange","1","M2 SOUTHERN EXY (SB)","Seacombe Rd to Beach Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771029","44","403-Southern Expressway SB - Seacombe Rd to Old Noarlunga","1","M2 SOUTHERN EXY (SB)","Seacombe Rd to Old Noarlunga","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771036","45","354-Gawler Bypass to Gepps Cross - via Northern Expressway","1","NORTHERN EXY /PWR (CB)","Gawler Bypass to Gepps Cross","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771042","46","354-Gawler Bypass to Gepps Cross - via Main North Road","1","A20 MAIN NORTH RD (CB)","Gawler Bypass to Gepps Cross","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771049","47","353-Nexy / Angle Vale Rd to Gepps Cross","1","NORTHERN EXY / PWR (CB)","Angle Vale Rd to Gepps Cross","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771055","48","353-Nexy / Angle Vale Rd to Port Adelaide","1","NEXY/ PWR /PREXY (CB/WB)","Angle Vale Rd to Port Adelaide","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771062","49","352-Nexy / Curtis Rd to Port Adelaide","1","NEXY/ PWR /PREXY (CB/WB)","Curtis Rd to Port Adelaide","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771069","50","352-Nexy / Curtis Rd to Gepps Cross","1","NORTHERN EXY / PWR (CB)","Curtis Rd to Gepps Cross","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771075","51","303-Globe Derby to Gepps Cross","1","A1 Port Wakefield Rd (CB)","Globe Derby to Gepps Cross","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771081","52","303-Globe Derby to Port Adelaide","1","PWR / PREXY (SB/WB)","Globe Derby to Pt Adelaide","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771087","53","303-Globe Derby to Hindmarsh via South Rd","1","PWR / PREXY / STH RD (SB)","Globe Derby to Hindmarsh (via Sth Rd)","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771094","54","303-Globe Derby to North Adelaide","1","PWR / MAIN NTH RD (SB)","Globe Derby to North Adelaide","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771101","55","304-Salisbury Hwy Green Fields to North Adelaide","1","SALIS HWY / MN NTH RD(CB)","Mawson Lakes to North Adelaide","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771107","57","304-Salisbury Hwy Green Fields to Hindmarsh via South Rd","1","SALIS HWY / STH RD (SB)","Mawson Lakes to Hindmarsh (via Sth Rd)","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771114","58","304-Salisbury Hwy Green Fields to Port Adelaide","1","SALIS HWY / PREXY (SB/EB)","Mawson Lakes to Pt Adelaide","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771121","59","301-Pt Wakefield Rd Cavan to Northern Expressway","1","A1 Port Wakefield Rd (NB)","Cavan to NEXY","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771127","60","301-Pt Wakefield Rd Cavan to Salisbury","1","PWR / SALIS HWY (NB)","Cavan to Salisbury","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771133","61","205-Salisbury Hwy WB near Magazine Rd to Pt Adelaide","1","SALIS HWY / PREXY (WB)","Magazine Rd to Pt Adelaide","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771140","62","205-Salisbury Hwy WB near Magazine Rd to Hindmarsh","1","SALIS HWY / STH RD (SB)","Magazine Rd to Hindmarsh (via Sth Rd)","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771147","63","205-Salisbury Hwy WB near Magazine Rd to Ashford (ANZAC Hwy)","1","SALIS HWY / STH RD (SB)","Magazine Rd to Anzac Hwy (via Sth Rd)","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771154","64","256-GJ Rd EB (west of Superway) to Main North Rd (Gepps Cross)","1","GRAND JUNCTION RD (EB)","West of Superway to Main North Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771161","65","256-GJ Rd EB (west of Superway) to North East Road (Holden Hill)","1","GRAND JUNCTION RD (EB)","West of Superway to North East Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771168","66","255-GJ Rd WB (east of Superway) to Port Rd (Port Adelaide)","1","GRAND JUNCTION RD (WB)","East of Superway to Port Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771174","67","255-GJ Rd WB (east of Superway) to Port Rd (Hindmarsh)","1","GJ RD / PORT RD (WB/CB)","East of Superway to Port Rd (Hindmarsh)","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771181","68","253-South Rd SB (north of Regency Rd) to Port Rd (Hindmarsh)","1","A13 SOUTH RD (SB)","Days Rd to Port Rd","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771188","69","253-South Rd SB (north of Regency Rd) to ANZAC Hwy (Ashford)","1","A13 SOUTH RD (SB)","Days Rd to Anzac Hwy","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771194","70","252-South Rd NB (north of Regency Rd) to Northern Expressway","1","SUPERWAY / PWR (NB)","Regency Rd to NEXY","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
"I","2021-07-06 01:49:38.771201","71","252-South Rd NB (north of Regency Rd) to Salisbury","1","SUPERWAY / SALBY HWY (NB)","Regency Rd to Salisbury (Park Tce)","true","+1.0000000000000000e+00","dbo",,"11","2021","07","06"
