"op","dms_update_ts","id","number","activity_id","enabled","name","beaconindex","instance_id","androidname","longitude","latitude","status_date","entry_status_username","ingest_hour","ingest_year","ingest_month","ingest_day"
"U","2022-03-02 02:57:26.910000","20985","4677","1","true","Flagstaff Road south of Elly Court","1222","Flagstaff Road; south of Elly; Court","Flagstaff Road; south of Elly; Court","138.559952","-35.030029",,"BTSites","13","2022","03","02"
"I","2022-02-11 01:21:42.397000","20984","9999","1","true","Asset Number 9999","1221","Asset Number 9999","Asset Number 9999","138.455414","-34.929844",,"BTSites","11","2022","02","11"
"U","2022-04-04 07:02:20.433000","20956","7582","1","true","North - South Motorway (R2P) Regency Road South Bound on ramp","1193","Asset Number 7582","Asset Number 7582","138.571869","-34.875175",,"BTSites","16","2022","04","04"
"I","2022-02-07 04:36:39.397000","20981","3225","1","true","Asset Number 3225","1218","Asset Number 3225","Asset Number 3225","138.455414","-34.929844",,"BTSites","15","2022","02","07"
"U","2022-03-25 03:45:32.320000","20988","26305","1","false","Asset Number 26305","1225","Asset Number 26305","Asset Number 26305","138.455414","-34.929844",,"BTSites","14","2022","03","25"
"I","2022-03-25 06:27:42.760000","20990","1403","1","true","Asset Number 1403","1227","Asset Number 1403","Asset Number 1403","138.455414","-34.929844",,"BTSites","16","2022","03","25"
"U","2022-04-04 07:04:42.180000","20963","7576","1","true","North - South Motorway (R2P) at Royce Avenue","1200","North; South; Motorway; R2P ;at Royce Avenue","North; South; Motorway; R2P ;at Royce Avenue","138.571915","-34.880527",,"BTSites","16","2022","04","04"
"I","2022-05-05 01:49:20.680000","20993","26393","1","true","Asset Number 26393","1230","Asset Number 26393","Asset Number 26393","138.455414","-34.929844",,"BTSites","11","2022","05","05"
"U","2022-03-29 06:45:18.987000","20978","1404","1","true","PC404 - Angle Vale Rd / Stephens Drive","1215","Angle;vale;road;stephens;drive","Angle;vale;road;stephens;drive","138.653702","-34.639694",,"BTSites","17","2022","03","29"
"U","2022-03-02 02:45:52.317000","20985","4677","1","true","Flagstaff Road near Elly Court","1222","Flagstaff Road; near Elly; Court","Flagstaff Road; near Elly; Court","138.559952","-35.030029",,"BTSites","13","2022","03","02"
"I","2022-03-01 04:42:52.797000","20986","4678","1","true","Asset Number 4678","1223","Asset Number 4678","Asset Number 4678","138.455414","-34.929844",,"BTSites","15","2022","03","01"
"U","2022-03-02 02:36:26.100000","20986","4678","1","true","Asset Number 4678","1223","Asset Number 4678","Asset Number 4678","138.56369","-35.034",,"BTSites","13","2022","03","02"
"I","2022-04-12 05:25:21.887000","20992","9901","1","true","Asset Number 9901","1229","Asset Number 9901","Asset Number 9901","138.455414","-34.929844",,"BTSites","14","2022","04","12"
"U","2022-02-08 02:43:02.150000","20955","7588","1","true","North - South Motorway (R2P) 170m South of Days Rd Exit","1192","North South; Motorway; South of Days Road Exit","North South; Motorway; South of Days Road Exit","138.570236","-34.865086",,"BTSites","13","2022","02","08"
"U","2022-04-04 07:00:52.220000","20961","7585","1","true","North - South Motorway (R2P) South of Tikara Street","1198","North; South; Motorway; R2P; South of ;Tikara Street","North; South; Motorway; R2P; South of ;Tikara Street","138.570862","-34.871132",,"BTSites","16","2022","04","04"
"I","2022-01-18 23:53:32.700000","20980","591","1","true","Asset Number 591","1217","Asset Number 591","Asset Number 591","138.455414","-34.929844",,"BTSites","10","2022","01","19"
"I","2022-05-18 06:54:22.317000","20995","5701","1","true","Asset Number 5701","1232","Asset Number 5701","Asset Number 5701","138.455414","-34.929844",,"BTSites","16","2022","05","18"
