"op","dms_update_ts","date","typeid","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day"
"I","2022-01-06 21:50:57.193000","2022-04-16","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-04-17","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-04-18","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-04-19","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-04-20","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-04-21","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-04-22","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-04-23","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-04-24","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-04-25","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-04-26","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-04-27","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-04-28","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-04-29","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-04-30","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-05-01","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-07-09","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-07-10","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-07-11","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-07-12","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-07-13","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-07-14","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-07-15","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-07-16","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-07-17","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-07-18","2","dbo","BTSpecialDays","08","2022","01","07"
"I","2022-01-06 21:50:57.193000","2022-07-19","2","dbo","BTSpecialDays","08","2022","01","07"
