"op","dms_update_ts","id","name","organizationid","sourceidtype","sourceid","enabled","trackedvehicletypeid","notes","createdat","createdbyid","deletedat","deletedbyid","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day"
"U","2021-10-07 06:46:01.627000","245","Unit 1 - Matt Wilkinson","1","1","0001951D1C68","true","7","Installed in personal vehicle for testing.","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","17","2021","10","07"
"I","2021-07-06 01:49:41.238569","1","James Cox Nokia","1","1","1886AC3BE43B","true","1","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.238598","2","Tai Dinh Nokia","1","1","A84481393B38","true","1","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.238613","3","Jim Cluse","1","1","00EB2D562979","true","1","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.238626","4","11EB49 S219-AQU","1","1","00019511EB49","true","1","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.238640","5","SENA SD1000U 11EB4A","1","1","00019511EB4A","true","1","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.238652","6","TMC Territory","1","1","0001950CA49B","true","1","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.238665","7","SD1000U 11EB54 S762-AQR","1","1","00019511EB54","true","1","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.238677","8","S224-AQS","1","1","0001950CA47F","true","1","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.239477","9","Unallocated - Faulty Antenna Thread","1","1","00019511E570","true","1","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.239502","10","1","1","1","0012F3293343","true","1","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.239520","11","BUS 26","1","1","000195142BF6","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.239533","12","BUS 4","1","1","0001951D1C93","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.239545","13","BUS 5","1","1","000195142BFA","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.239558","14","BUS 6","1","1","00019511E57D","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.239572","15","BUS 32","1","1","00019510CF17","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
"I","2021-07-06 01:49:41.246909","16","BUS 33","1","1","00019511E568","true","2","","2017-11-28 10:01:33 +10:30","0","",,"dbo","BTTrackedVehicles","11","2021","07","06"
