"op","dms_update_ts","logtime","siteid","probeid","firstseenat","sourceidtype","trackedvehicletypeid","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day","op","dms_update_ts","id","number","activity_id","enabled","name","beaconindex","instance_id","androidname","longitude","latitude","status_date","entry_status_username","ingest_hour","ingest_year","ingest_month","ingest_day","in_out_filter","seq"
"I","2022-03-05 23:38:05.307000","2022-03-06 09:37:39 +10:30","92","968546674","2022-03-06 09:37:39 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.677693","92","92","1","true","PORTRUSH ROAD -MOUNT BARKER ROAD -CROSS ROAD","9","PORTRUSH ROAD; MOUNT BARKER ROAD; CROSS ROAD","Port Rush Road; Mount Barker Road; Cross Road","138.644018","-34.963378",,"BTSites","12","2021","05","28","1","1"
"I","2022-03-05 23:38:05.307000","2022-03-06 09:37:39 +10:30","92","968546674","2022-03-06 09:37:39 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.336500","92","92","1","true","PORTRUSH ROAD -MOUNT BARKER ROAD -CROSS ROAD","9","PORTRUSH ROAD; MOUNT BARKER ROAD; CROSS ROAD","Port Rush Road; Mount Barker Road; Cross Road","138.644018","-34.963378",,"BTSites","11","2021","07","06","2","2"
"I","2022-03-05 23:38:34.877000","2022-03-06 09:38:23 +10:30","1313","968546674","2022-03-06 09:38:07 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.394696","1313","1313","1","true","GLEN OSMOND ROAD NEAR QUEENS LANE MYRTLE BANK","544","GLEN OSMOND ROAD; NEAR QUEENS LANE","GLEN OSMOND ROAD; NEAR QUEENS LANE","138.641584","-34.960419",,"BTSites","11","2021","07","06","2","3"
"I","2022-03-05 23:38:34.877000","2022-03-06 09:38:23 +10:30","1313","968546674","2022-03-06 09:38:07 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.717512","1313","1313","1","true","GLEN OSMOND ROAD NEAR QUEENS LANE MYRTLE BANK","544","GLEN OSMOND ROAD; NEAR QUEENS LANE","GLEN OSMOND ROAD; NEAR QUEENS LANE","138.641584","-34.960419",,"BTSites","12","2021","05","28","1","4"
"I","2022-03-05 23:39:05.393000","2022-03-06 09:38:52 +10:30","1178","968546674","2022-03-06 09:38:41 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.716854","1178","1178","1","true","GLEN OSMOND ROAD  SE OF FISHER STREET GLEN OSMOND","545","GLEN OSMOND ROAD;  NEAR FISHER STREET","GLEN OSMOND ROAD;  NEAR FISHER STREET","138.638218","-34.95636",,"BTSites","12","2021","05","28","1","5"
"I","2022-03-05 23:39:05.393000","2022-03-06 09:38:52 +10:30","1178","968546674","2022-03-06 09:38:41 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.389395","1178","1178","1","true","GLEN OSMOND ROAD  SE OF FISHER STREET GLEN OSMOND","545","GLEN OSMOND ROAD;  NEAR FISHER STREET","GLEN OSMOND ROAD;  NEAR FISHER STREET","138.638218","-34.95636",,"BTSites","11","2021","07","06","2","6"
"I","2022-03-05 23:44:02.203000","2022-03-06 09:43:56 +10:30","374","968546674","2022-03-06 09:43:56 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.364829","374","374","1","true","GLEN OSMOND ROAD -CONYNGHAM ST-BEVINGTON ROAD","185","GLEN OSMOND ROAD; CONNING HAM STREET; BEV INGTON ROAD","Glen Osmond Road; Conyngham Street; Bevington Road","138.63445","-34.951833",,"BTSites","11","2021","07","06","2","7"
"I","2022-03-05 23:44:02.203000","2022-03-06 09:43:56 +10:30","374","968546674","2022-03-06 09:43:56 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.701704","374","374","1","true","GLEN OSMOND ROAD -CONYNGHAM ST-BEVINGTON ROAD","185","GLEN OSMOND ROAD; CONNING HAM STREET; BEV INGTON ROAD","Glen Osmond Road; Conyngham Street; Bevington Road","138.63445","-34.951833",,"BTSites","12","2021","05","28","1","8"
"I","2022-03-05 23:45:06.507000","2022-03-06 09:44:56 +10:30","20787","968546674","2022-03-06 09:44:44 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.719859","20787","50383","1","true","Conyngham Street near Glenunga International High School","1027","Conyngham Street; near Glenunga International High School","Conyngham Street; near Glenunga International High School","138.634399","-34.949844",,"BTSites","12","2021","05","28","1","9"
"I","2022-03-05 23:45:06.507000","2022-03-06 09:44:56 +10:30","20787","968546674","2022-03-06 09:44:44 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.428053","20787","50383","1","true","Conyngham Street near Glenunga International High School","1027","Conyngham Street; near Glenunga International High School","Conyngham Street; near Glenunga International High School","138.634399","-34.949844",,"BTSites","11","2021","07","06","2","10"
"I","2022-03-05 23:47:05.390000","2022-03-06 09:47:00 +10:30","531","968546674","2022-03-06 09:46:44 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.706257","531","531","1","true","GREENHILL ROAD - CONYNGHAM STREET","245","GREENHILL ROAD; CONNING HAM STREET","GREENHILL ROAD ; CONYNGHAM STREET","138.633607","-34.939638",,"BTSites","12","2021","05","28","1","11"
"I","2022-03-05 23:47:05.390000","2022-03-06 09:47:00 +10:30","531","968546674","2022-03-06 09:46:44 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.379145","531","531","1","true","GREENHILL ROAD - CONYNGHAM STREET","245","GREENHILL ROAD; CONNING HAM STREET","GREENHILL ROAD ; CONYNGHAM STREET","138.633607","-34.939638",,"BTSites","11","2021","07","06","2","12"
"I","2022-03-05 23:48:15.713000","2022-03-06 09:47:49 +10:30","1221","968546674","2022-03-06 09:47:49 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.717035","1221","1221","1","true","GREENHILL ROAD  E OF SYDNEY STREET GLENSIDE","773","GREENHILL ROAD  NEAR SYDNEY STREET","GREENHILL ROAD  NEAR SYDNEY STREET","138.641523","-34.939224",,"BTSites","12","2021","05","28","1","13"
"I","2022-03-05 23:48:15.713000","2022-03-06 09:47:49 +10:30","1221","968546674","2022-03-06 09:47:49 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.391069","1221","1221","1","true","GREENHILL ROAD  E OF SYDNEY STREET GLENSIDE","773","GREENHILL ROAD  NEAR SYDNEY STREET","GREENHILL ROAD  NEAR SYDNEY STREET","138.641523","-34.939224",,"BTSites","11","2021","07","06","2","14"
"I","2022-03-05 23:48:15.713000","2022-03-06 09:47:49 +10:30","1221","968546674","2022-03-06 09:47:49 +10:30","1","0","dbo","BTRecords","10","2022","03","06","U","2021-11-16 02:28:51.643000","1221","1221","1","true","Greenhill Road - Sydney Street","773","Greenhill Road; Sydney Street","Greenhill Road; Sydney Street","138.64061","-34.939304",,"BTSites","12","2021","11","16","3","15"
"I","2022-03-05 23:48:15.713000","2022-03-06 09:47:58 +10:30","88","968546674","2022-03-06 09:47:58 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.336463","88","88","1","true","PORTRUSH ROAD - GREENHILL ROAD","248","PORTRUSH ROAD; GREENHILL ROAD","PORTRUSH ROAD ; GREENHILL ROAD","138.642422","-34.939178",,"BTSites","11","2021","07","06","2","16"
"I","2022-03-05 23:48:15.713000","2022-03-06 09:47:58 +10:30","88","968546674","2022-03-06 09:47:58 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.677659","88","88","1","true","PORTRUSH ROAD - GREENHILL ROAD","248","PORTRUSH ROAD; GREENHILL ROAD","PORTRUSH ROAD ; GREENHILL ROAD","138.642422","-34.939178",,"BTSites","12","2021","05","28","1","17"
"I","2022-03-05 23:49:13.997000","2022-03-06 09:49:00 +10:30","438","968546674","2022-03-06 09:49:00 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.702724","438","438","1","true","GRREENHILL ROAD - DEVEREUX ROAD","29","GREENHILL ROAD; DEVAR ROW ROAD","Greenhill Road; Deverrow Road","138.651388","-34.938802",,"BTSites","12","2021","05","28","1","18"
"I","2022-03-05 23:49:13.997000","2022-03-06 09:49:00 +10:30","438","968546674","2022-03-06 09:49:00 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.374594","438","438","1","true","GRREENHILL ROAD - DEVEREUX ROAD","29","GREENHILL ROAD; DEVAR ROW ROAD","Greenhill Road; Deverrow Road","138.651388","-34.938802",,"BTSites","11","2021","07","06","2","19"
"I","2022-03-05 23:51:33.393000","2022-03-06 09:51:09 +10:30","1210","968546674","2022-03-06 09:51:09 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.390697","1210","1210","1","true","GLYNBURN ROAD  S OF YOUNG STREET BURNSIDE","219","GLINBURN ROAD; NEAR; YOUNG STREET","Glynburn Road; near; Young Street","138.65989","-34.934702",,"BTSites","11","2021","07","06","2","20"
"I","2022-03-05 23:51:33.393000","2022-03-06 09:51:09 +10:30","1210","968546674","2022-03-06 09:51:09 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.716977","1210","1210","1","true","GLYNBURN ROAD  S OF YOUNG STREET BURNSIDE","219","GLINBURN ROAD; NEAR; YOUNG STREET","Glynburn Road; near; Young Street","138.65989","-34.934702",,"BTSites","12","2021","05","28","1","21"
"I","2022-03-05 23:53:16.573000","2022-03-06 09:52:49 +10:30","86","968546674","2022-03-06 09:52:27 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.336435","86","86","1","true","GLYNBURN ROAD - KENSINGTON ROAD","71","GLINBURN ROAD; KENSINGTON ROAD","Glynburn Road; Kensington Road","138.659218","-34.926008",,"BTSites","11","2021","07","06","2","22"
"I","2022-03-05 23:53:16.573000","2022-03-06 09:52:49 +10:30","86","968546674","2022-03-06 09:52:27 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.677627","86","86","1","true","GLYNBURN ROAD - KENSINGTON ROAD","71","GLINBURN ROAD; KENSINGTON ROAD","Glynburn Road; Kensington Road","138.659218","-34.926008",,"BTSites","12","2021","05","28","1","23"
"I","2022-03-05 23:54:05.663000","2022-03-06 09:53:56 +10:30","83","968546674","2022-03-06 09:53:40 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.336400","83","83","1","true","GLYNBURN ROAD - THE PARADE","283","GLINBURN ROAD; THE PARADE","GLYNBURN ROAD ; THE PARADE","138.658763","-34.920076",,"BTSites","11","2021","07","06","2","24"
"I","2022-03-05 23:54:05.663000","2022-03-06 09:53:56 +10:30","83","968546674","2022-03-06 09:53:40 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.677575","83","83","1","true","GLYNBURN ROAD - THE PARADE","283","GLINBURN ROAD; THE PARADE","GLYNBURN ROAD ; THE PARADE","138.658763","-34.920076",,"BTSites","12","2021","05","28","1","25"
"I","2022-03-06 00:00:16.680000","2022-03-06 10:00:12 +10:30","83","968546674","2022-03-06 09:59:35 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.336400","83","83","1","true","GLYNBURN ROAD - THE PARADE","283","GLINBURN ROAD; THE PARADE","GLYNBURN ROAD ; THE PARADE","138.658763","-34.920076",,"BTSites","11","2021","07","06","2","26"
"I","2022-03-06 00:00:16.680000","2022-03-06 10:00:12 +10:30","83","968546674","2022-03-06 09:59:35 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.677575","83","83","1","true","GLYNBURN ROAD - THE PARADE","283","GLINBURN ROAD; THE PARADE","GLYNBURN ROAD ; THE PARADE","138.658763","-34.920076",,"BTSites","12","2021","05","28","1","27"
"I","2022-03-06 00:02:04.907000","2022-03-06 10:01:59 +10:30","86","968546674","2022-03-06 10:01:11 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.677627","86","86","1","true","GLYNBURN ROAD - KENSINGTON ROAD","71","GLINBURN ROAD; KENSINGTON ROAD","Glynburn Road; Kensington Road","138.659218","-34.926008",,"BTSites","12","2021","05","28","1","28"
"I","2022-03-06 00:02:04.907000","2022-03-06 10:01:59 +10:30","86","968546674","2022-03-06 10:01:11 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.336435","86","86","1","true","GLYNBURN ROAD - KENSINGTON ROAD","71","GLINBURN ROAD; KENSINGTON ROAD","Glynburn Road; Kensington Road","138.659218","-34.926008",,"BTSites","11","2021","07","06","2","29"
"I","2022-03-06 00:03:04.873000","2022-03-06 10:02:40 +10:30","1210","968546674","2022-03-06 10:02:40 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.716977","1210","1210","1","true","GLYNBURN ROAD  S OF YOUNG STREET BURNSIDE","219","GLINBURN ROAD; NEAR; YOUNG STREET","Glynburn Road; near; Young Street","138.65989","-34.934702",,"BTSites","12","2021","05","28","1","30"
"I","2022-03-06 00:03:04.873000","2022-03-06 10:02:40 +10:30","1210","968546674","2022-03-06 10:02:40 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.390697","1210","1210","1","true","GLYNBURN ROAD  S OF YOUNG STREET BURNSIDE","219","GLINBURN ROAD; NEAR; YOUNG STREET","Glynburn Road; near; Young Street","138.65989","-34.934702",,"BTSites","11","2021","07","06","2","31"
"I","2022-03-06 00:05:06.077000","2022-03-06 10:04:35 +10:30","438","968546674","2022-03-06 10:04:19 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.702724","438","438","1","true","GRREENHILL ROAD - DEVEREUX ROAD","29","GREENHILL ROAD; DEVAR ROW ROAD","Greenhill Road; Deverrow Road","138.651388","-34.938802",,"BTSites","12","2021","05","28","1","32"
"I","2022-03-06 00:05:06.077000","2022-03-06 10:04:35 +10:30","438","968546674","2022-03-06 10:04:19 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.374594","438","438","1","true","GRREENHILL ROAD - DEVEREUX ROAD","29","GREENHILL ROAD; DEVAR ROW ROAD","Greenhill Road; Deverrow Road","138.651388","-34.938802",,"BTSites","11","2021","07","06","2","33"
"I","2022-03-06 00:05:31.687000","2022-03-06 10:05:19 +10:30","88","968546674","2022-03-06 10:05:19 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-07-06 01:49:39.336463","88","88","1","true","PORTRUSH ROAD - GREENHILL ROAD","248","PORTRUSH ROAD; GREENHILL ROAD","PORTRUSH ROAD ; GREENHILL ROAD","138.642422","-34.939178",,"BTSites","11","2021","07","06","2","34"
"I","2022-03-06 00:05:31.687000","2022-03-06 10:05:19 +10:30","88","968546674","2022-03-06 10:05:19 +10:30","1","0","dbo","BTRecords","10","2022","03","06","I","2021-05-28 03:25:56.677659","88","88","1","true","PORTRUSH ROAD - GREENHILL ROAD","248","PORTRUSH ROAD; GREENHILL ROAD","PORTRUSH ROAD ; GREENHILL ROAD","138.642422","-34.939178",,"BTSites","12","2021","05","28","1","35"
