"op","dms_update_ts","logtime","siteid","probeid","firstseenat","sourceidtype","trackedvehicletypeid","schema_name","table_name","ingest_hour","ingest_year","ingest_month","ingest_day","op","dms_update_ts","id","number","activity_id","enabled","name","beaconindex","instance_id","androidname","longitude","latitude","status_date","entry_status_username","ingest_hour","ingest_year","ingest_month","ingest_day","in_out_filter","seq"
"I","2022-03-05 13:50:00.770000","2022-03-05 23:49:32 +10:30","3003","966069315","2022-03-05 23:49:13 +10:30","1","0","dbo","BTRecords","00","2022","03","06","I","2021-07-06 01:49:39.396988","3003","3003","1","true","CURRIE STREET - KING WILLIAM STREET","83","CURRY STREET; KING WILLIAM STREET","Currie Street; King William Street","138.59971","-34.924386",,"BTSites","11","2021","07","06","2","1"
"I","2022-03-05 13:50:00.770000","2022-03-05 23:49:32 +10:30","3003","966069315","2022-03-05 23:49:13 +10:30","1","0","dbo","BTRecords","00","2022","03","06","I","2021-05-28 03:25:56.717833","3003","3003","1","true","CURRIE STREET - KING WILLIAM STREET","83","CURRY STREET; KING WILLIAM STREET","Currie Street; King William Street","138.59971","-34.924386",,"BTSites","12","2021","05","28","1","2"
"I","2022-03-05 13:51:12.927000","2022-03-05 23:50:39 +10:30","3031","966069315","2022-03-05 23:50:39 +10:30","1","0","dbo","BTRecords","00","2022","03","06","I","2021-07-06 01:49:39.406752","3031","3031","1","true","CURRIE STREET - LIGHT SQUARE N-S","681","CURRIE STREET; LIGHT SQUARE EAST","CURRIE STREET; LIGHT SQUARE EAST","138.594261","-34.924693",,"BTSites","11","2021","07","06","4","3"
"I","2022-03-05 13:51:12.927000","2022-03-05 23:50:39 +10:30","3031","966069315","2022-03-05 23:50:39 +10:30","1","0","dbo","BTRecords","00","2022","03","06","I","2021-07-06 01:49:39.406752","3031","3031","1","true","CURRIE STREET - LIGHT SQUARE N-S","681","CURRIE STREET; LIGHT SQUARE EAST","CURRIE STREET; LIGHT SQUARE EAST","138.594261","-34.924693",,"BTSites","11","2021","07","06","2","4"
"I","2022-03-05 13:51:12.927000","2022-03-05 23:50:39 +10:30","3031","966069315","2022-03-05 23:50:39 +10:30","1","0","dbo","BTRecords","00","2022","03","06","I","2021-05-28 03:25:56.717964","3031","3031","1","true","CURRIE STREET - LIGHT SQUARE N-S","681","CURRIE STREET; LIGHT SQUARE EAST","CURRIE STREET; LIGHT SQUARE EAST","138.594261","-34.924693",,"BTSites","12","2021","05","28","1","5"
"I","2022-03-05 13:51:12.927000","2022-03-05 23:50:39 +10:30","3031","966069315","2022-03-05 23:50:39 +10:30","1","0","dbo","BTRecords","00","2022","03","06","I","2021-05-28 03:25:56.717964","3031","3031","1","true","CURRIE STREET - LIGHT SQUARE N-S","681","CURRIE STREET; LIGHT SQUARE EAST","CURRIE STREET; LIGHT SQUARE EAST","138.594261","-34.924693",,"BTSites","12","2021","05","28","3","6"
"I","2022-03-05 13:51:12.927000","2022-03-05 23:50:43 +10:30","3030","966069315","2022-03-05 23:50:43 +10:30","1","0","dbo","BTRecords","00","2022","03","06","I","2021-07-06 01:49:39.406736","3030","3030","1","true","CURRIE STREET - LIGHT SQUARE S-N","705","CURRIE STREET; LIGHT SQUARE","CURRIE STREET; LIGHT SQUARE","138.592959","-34.924676",,"BTSites","11","2021","07","06","4","7"
"I","2022-03-05 13:51:12.927000","2022-03-05 23:50:43 +10:30","3030","966069315","2022-03-05 23:50:43 +10:30","1","0","dbo","BTRecords","00","2022","03","06","I","2021-05-28 03:25:56.717958","3030","3030","1","true","CURRIE STREET - LIGHT SQUARE S-N","705","CURRIE STREET; LIGHT SQUARE","CURRIE STREET; LIGHT SQUARE","138.592959","-34.924676",,"BTSites","12","2021","05","28","3","8"
"I","2022-03-05 13:51:12.927000","2022-03-05 23:50:43 +10:30","3030","966069315","2022-03-05 23:50:43 +10:30","1","0","dbo","BTRecords","00","2022","03","06","I","2021-05-28 03:25:56.717958","3030","3030","1","true","CURRIE STREET - LIGHT SQUARE S-N","705","CURRIE STREET; LIGHT SQUARE","CURRIE STREET; LIGHT SQUARE","138.592959","-34.924676",,"BTSites","12","2021","05","28","1","9"
"I","2022-03-05 13:51:12.927000","2022-03-05 23:50:43 +10:30","3030","966069315","2022-03-05 23:50:43 +10:30","1","0","dbo","BTRecords","00","2022","03","06","I","2021-07-06 01:49:39.406736","3030","3030","1","true","CURRIE STREET - LIGHT SQUARE S-N","705","CURRIE STREET; LIGHT SQUARE","CURRIE STREET; LIGHT SQUARE","138.592959","-34.924676",,"BTSites","11","2021","07","06","2","10"
"I","2022-03-05 13:51:48.693000","2022-03-05 23:51:23 +10:30","3043","966069315","2022-03-05 23:51:23 +10:30","1","0","dbo","BTRecords","00","2022","03","06","I","2021-07-06 01:49:39.407457","3043","3043","1","true","GLOVER AVENUE- WEST TERRACE","42","GLOVER AVENUE; WEST TERRACE","Glover Avenue; West Terrace","138.587387","-34.924927",,"BTSites","11","2021","07","06","2","11"
"I","2022-03-05 13:51:48.693000","2022-03-05 23:51:23 +10:30","3043","966069315","2022-03-05 23:51:23 +10:30","1","0","dbo","BTRecords","00","2022","03","06","I","2021-05-28 03:25:56.718038","3043","3043","1","true","GLOVER AVENUE- WEST TERRACE","42","GLOVER AVENUE; WEST TERRACE","Glover Avenue; West Terrace","138.587387","-34.924927",,"BTSites","12","2021","05","28","1","12"
"I","2022-03-05 13:53:03.417000","2022-03-05 23:52:30 +10:30","3043","966069315","2022-03-05 23:52:30 +10:30","1","0","dbo","BTRecords","00","2022","03","06","I","2021-07-06 01:49:39.407457","3043","3043","1","true","GLOVER AVENUE- WEST TERRACE","42","GLOVER AVENUE; WEST TERRACE","Glover Avenue; West Terrace","138.587387","-34.924927",,"BTSites","11","2021","07","06","2","13"
